City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,buritizeiro,-17.3511,-44.9622,22.14,76,0,2.27,BR,1697958528
215,avon,41.4517,-82.0354,9.96,84,40,5.66,US,1697958650
216,kibuye,-2.0597,29.3482,22.84,64,15,0.42,RW,1697958556
217,inhambane,-23.865,35.3833,27.54,54,0,4.61,MZ,1697958650
218,nova sintra,14.8667,-24.7167,23.65,74,82,4.62,CV,1697958651
219,box elder,41.5005,-112.8764,15.19,61,3,1.67,US,1697958651
220,beaufort west,-32.3567,22.583,11.43,82,100,6.78,ZA,1697958651
221,haiku-pauwela,20.9219,-156.3051,22.87,87,100,3.09,US,1697958651
222,puerto ayora,-0.7393,-90.3518,22.98,90,28,2.66,EC,1697958651
223,shalqar,47.8333,59.6,6.96,72,100,12.17,KZ,1697958651
224,portland,45.5234,-122.6762,14.99,96,100,1.34,US,1697957880
225,melo,-32.3667,-54.1833,14.81,98,49,3.23,UY,1697958652
226,atafu village,-8.5421,-172.5159,28.95,73,95,3.2,TK,1697958652
227,zaozersk,69.4005,32.4476,-0.08,91,100,4.21,RU,1697958652
228,pudozh,61.8099,36.5345,1.37,81,7,1.56,RU,1697958652
229,tura,25.5198,90.2201,28.89,54,11,1.53,IN,1697958653
230,cabo san lucas,22.8909,-109.9124,26.53,91,100,2.68,MX,1697957890
231,dryden,49.7833,-92.7503,3.92,95,100,0.9,CA,1697958653
232,nueve de julio,-35.4444,-60.8831,15.54,99,100,0.45,AR,1697958653
233,antsiranana,-12.2787,49.2917,29.33,50,0,8.4,MG,1697958654
234,den burg,53.0542,4.7972,12.99,69,100,8.75,NL,1697958654
235,bonthe,7.5264,-12.505,24.27,94,100,2.08,SL,1697958654
236,salaga,8.5508,-0.5188,24.92,84,95,1.15,GH,1697958654
237,tazovsky,67.4667,78.7,-1.22,79,97,8.33,RU,1697958654
238,ilomantsi,62.6716,30.9328,-1.62,61,79,0.99,FI,1697958655
239,vilyuchinsk,52.9306,158.4028,8.15,63,100,3.32,RU,1697958655
240,aykhal,66.0,111.5,-7.24,99,100,2.53,RU,1697958655
241,linden,6.0,-58.3,23.07,100,100,0.82,GY,1697958655
242,homer,59.6425,-151.5483,-0.07,47,0,0.0,US,1697958655
243,port lincoln,-34.7333,135.8667,14.58,55,100,5.19,AU,1697958656
244,sabang,5.8933,95.3214,27.72,69,100,2.88,ID,1697958656
245,hovd,48.0056,91.6419,13.64,30,47,1.64,MN,1697958656
246,las tablas,7.7667,-80.2833,24.97,89,100,1.85,PA,1697958656
247,vadso,70.0744,29.7487,1.49,86,100,2.06,NO,1697958656
248,lobujya,27.95,86.8167,-3.91,57,1,3.44,NP,1697958656
